artist,era,track_name,track_playcount,track_listeners,listeners,playcount,tags,popularity_score,popularity_group,extracted_at
Drake,2010s,One Dance,22557660,1945317,6691211,1150816491,"Hip-Hop, rap, rnb",46.2,Low,2026-04-08 00:18:16
Drake,2010s,Best I Ever Had,12429505,1794221,6691211,1150816491,"Hip-Hop, rap, rnb",25.46,Low,2026-04-08 00:18:16
Drake,2010s,Passionfruit,27967638,1598311,6691211,1150816491,"Hip-Hop, rap, rnb",57.28,High,2026-04-08 00:18:16
Drake,2010s,God's Plan,14608149,1453230,6691211,1150816491,"Hip-Hop, rap, rnb",29.92,Low,2026-04-08 00:18:16
Drake,2010s,Hotline Bling,12514386,1432008,6691211,1150816491,"Hip-Hop, rap, rnb",25.63,Low,2026-04-08 00:18:16
Drake,2010s,Forever,6705206,1251153,6691211,1150816491,"Hip-Hop, rap, rnb",13.73,Low,2026-04-08 00:18:16
Drake,2010s,"Hold On, We're Going Home",14944176,1247113,6691211,1150816491,"Hip-Hop, rap, rnb",30.61,Low,2026-04-08 00:18:16
Drake,2010s,Headlines,15519678,1140799,6691211,1150816491,"Hip-Hop, rap, rnb",31.79,Low,2026-04-08 00:18:16
Drake,2010s,Jimmy Cooks (feat. 21 Savage),17476907,1033102,6691211,1150816491,"Hip-Hop, rap, rnb",35.79,Low,2026-04-08 00:18:16
Drake,2010s,Over,6677022,1004904,6691211,1150816491,"Hip-Hop, rap, rnb",13.68,Low,2026-04-08 00:18:16
Rihanna,2010s,Don't Stop the Music,19548850,2530420,8260101,596359493,"pop, rnb, female vocalists",40.04,Low,2026-04-08 00:18:16
Rihanna,2010s,Only Girl (In the World),24721821,2357308,8260101,596359493,"pop, rnb, female vocalists",50.63,High,2026-04-08 00:18:16
Rihanna,2010s,Umbrella,17316800,2300440,8260101,596359493,"pop, rnb, female vocalists",35.47,Low,2026-04-08 00:18:16
Rihanna,2010s,S&M,22600352,2229827,8260101,596359493,"pop, rnb, female vocalists",46.29,Low,2026-04-08 00:18:16
Rihanna,2010s,Disturbia,18398641,2109391,8260101,596359493,"pop, rnb, female vocalists",37.68,Low,2026-04-08 00:18:16
Rihanna,2010s,We Found Love,16661441,1972425,8260101,596359493,"pop, rnb, female vocalists",34.12,Low,2026-04-08 00:18:16
Rihanna,2010s,Rude Boy,14163590,1753100,8260101,596359493,"pop, rnb, female vocalists",29.01,Low,2026-04-08 00:18:16
Rihanna,2010s,Diamonds,15994298,1691332,8260101,596359493,"pop, rnb, female vocalists",32.76,Low,2026-04-08 00:18:16
Rihanna,2010s,Shut Up and Drive,12725710,1645961,8260101,596359493,"pop, rnb, female vocalists",26.06,Low,2026-04-08 00:18:16
Rihanna,2010s,Where Have You Been,14704312,1578821,8260101,596359493,"pop, rnb, female vocalists",30.12,Low,2026-04-08 00:18:16
Kanye West,2010s,Stronger,27840504,2876045,7921408,1521925954,"Hip-Hop, rap, hip hop",57.02,High,2026-04-08 00:18:16
Kanye West,2010s,Heartless,34027819,2842467,7921408,1521925954,"Hip-Hop, rap, hip hop",69.69,High,2026-04-08 00:18:16
Kanye West,2010s,Flashing Lights,36538755,2185102,7921408,1521925954,"Hip-Hop, rap, hip hop",74.83,High,2026-04-08 00:18:16
Kanye West,2010s,I Wonder,31959943,1993776,7921408,1521925954,"Hip-Hop, rap, hip hop",65.46,High,2026-04-08 00:18:16
Kanye West,2010s,Can't Tell Me Nothing,19546364,1954528,7921408,1521925954,"Hip-Hop, rap, hip hop",40.03,Low,2026-04-08 00:18:16
Kanye West,2010s,Bound 2,30196279,1905909,7921408,1521925954,"Hip-Hop, rap, hip hop",61.84,High,2026-04-08 00:18:16
Kanye West,2010s,Gold Digger,17039468,1885988,7921408,1521925954,"Hip-Hop, rap, hip hop",34.9,Low,2026-04-08 00:18:16
Kanye West,2010s,All of the Lights,21582953,1844351,7921408,1521925954,"Hip-Hop, rap, hip hop",44.2,Low,2026-04-08 00:18:16
Kanye West,2010s,POWER,21330697,1745184,7921408,1521925954,"Hip-Hop, rap, hip hop",43.69,Low,2026-04-08 00:18:16
Kanye West,2010s,Father Stretch My Hands Pt. 1,35616480,1706070,7921408,1521925954,"Hip-Hop, rap, hip hop",72.95,High,2026-04-08 00:18:16
Beyonce,2010s,Halo,14626653,1781221,873061,26697469,,29.96,Low,2026-04-08 00:18:16
Beyonce,2010s,Crazy in Love (feat. JAY-Z),13582347,1709491,873061,26697469,,27.82,Low,2026-04-08 00:18:16
Beyonce,2010s,Single Ladies (Put a Ring on It),10545063,1599004,873061,26697469,,21.6,Low,2026-04-08 00:18:16
Beyonce,2010s,Irreplaceable,10722089,1531400,873061,26697469,,21.96,Low,2026-04-08 00:18:16
Beyonce,2010s,If I Were a Boy,7614516,1112375,873061,26697469,,15.6,Low,2026-04-08 00:18:16
Beyonce,2010s,Sweet Dreams,9627623,1091067,873061,26697469,,19.72,Low,2026-04-08 00:18:16
Beyonce,2010s,Love on Top,9838400,1045039,873061,26697469,,20.15,Low,2026-04-08 00:18:16
Beyonce,2010s,Diva,8748997,1033943,873061,26697469,,17.92,Low,2026-04-08 00:18:16
Beyonce,2010s,CUFF IT,16628482,940233,873061,26697469,,34.06,Low,2026-04-08 00:18:16
Beyonce,2010s,Run the World (Girls),6722947,865438,873061,26697469,,13.77,Low,2026-04-08 00:18:16
Eminem,2010s,Without Me,21049122,2314463,7766524,566004547,"rap, Hip-Hop, hip hop",43.11,Low,2026-04-08 00:18:16
Eminem,2010s,The Real Slim Shady,18035417,2231702,7766524,566004547,"rap, Hip-Hop, hip hop",36.94,Low,2026-04-08 00:18:16
Eminem,2010s,Lose Yourself,13942803,1769717,7766524,566004547,"rap, Hip-Hop, hip hop",28.56,Low,2026-04-08 00:18:16
Eminem,2010s,Mockingbird,14707321,1674335,7766524,566004547,"rap, Hip-Hop, hip hop",30.12,Low,2026-04-08 00:18:16
Eminem,2010s,Stan,13099690,1615884,7766524,566004547,"rap, Hip-Hop, hip hop",26.83,Low,2026-04-08 00:18:16
Eminem,2010s,Love the Way You Lie,12052476,1577295,7766524,566004547,"rap, Hip-Hop, hip hop",24.68,Low,2026-04-08 00:18:16
Eminem,2010s,My Name Is,7772851,1307849,7766524,566004547,"rap, Hip-Hop, hip hop",15.92,Low,2026-04-08 00:18:16
Eminem,2010s,Not Afraid,10857545,1288384,7766524,566004547,"rap, Hip-Hop, hip hop",22.24,Low,2026-04-08 00:18:16
Eminem,2010s,Superman,10715963,1245251,7766524,566004547,"rap, Hip-Hop, hip hop",21.95,Low,2026-04-08 00:18:16
Eminem,2010s,Sing for the Moment,7985081,1109031,7766524,566004547,"rap, Hip-Hop, hip hop",16.35,Low,2026-04-08 00:18:16
Taylor Swift,2020s,Blank Space,27955931,1812460,5909990,3651640897,"country, pop, female vocalists",57.26,High,2026-04-08 00:18:16
Taylor Swift,2020s,Cruel Summer,48826445,1679921,5909990,3651640897,"country, pop, female vocalists",100.0,High,2026-04-08 00:18:16
Taylor Swift,2020s,Shake It Off,18693237,1612101,5909990,3651640897,"country, pop, female vocalists",38.29,Low,2026-04-08 00:18:16
Taylor Swift,2020s,Style,33678068,1575778,5909990,3651640897,"country, pop, female vocalists",68.98,High,2026-04-08 00:18:16
Taylor Swift,2020s,cardigan,44703198,1536208,5909990,3651640897,"country, pop, female vocalists",91.56,High,2026-04-08 00:18:16
Taylor Swift,2020s,Love Story,14308429,1487397,5909990,3651640897,"country, pop, female vocalists",29.3,Low,2026-04-08 00:18:16
Taylor Swift,2020s,You Belong with Me,13655312,1422299,5909990,3651640897,"country, pop, female vocalists",27.97,Low,2026-04-08 00:18:16
Taylor Swift,2020s,august,42646504,1365477,5909990,3651640897,"country, pop, female vocalists",87.34,High,2026-04-08 00:18:16
Taylor Swift,2020s,Anti-Hero,34386563,1341646,5909990,3651640897,"country, pop, female vocalists",70.43,High,2026-04-08 00:18:16
Taylor Swift,2020s,Lover,27365601,1339365,5909990,3651640897,"country, pop, female vocalists",56.05,High,2026-04-08 00:18:16
